Country_Name,Life_Expectancy,Mean_Years_of_Schooling,GNI_Per_Capita,HDI_Score
Norway,82.4,13.0,68059,0.957
Switzerland,83.8,13.4,69394,0.955
Ireland,82.3,12.7,68371,0.955
Germany,81.3,14.2,55310,0.947
Australia,83.4,12.7,48085,0.944
Iceland,83.0,12.8,54682,0.949
Sweden,82.8,12.5,54508,0.945
Singapore,83.6,11.6,90542,0.938
Netherlands,82.3,12.4,57707,0.944
Denmark,80.9,12.6,58661,0.940
India,69.7,6.5,6681,0.645
Bangladesh,72.6,6.2,4976,0.632
Pakistan,67.3,5.2,4624,0.557
Nigeria,54.7,5.4,4961,0.539
Uganda,63.3,6.1,2158,0.544